Date,Country,City,Specie,count,min,max,median,variance
28-12-2020,IN,New Delhi,wind-speed,22,0.7,4.1,2,10
29-03-2021,IN,New Delhi,wind-speed,20,1.5,3.8,2.5,3.93
10-01-2021,IN,New Delhi,wind-speed,24,2,4.3,3.8,5.42
02-02-2021,IN,New Delhi,wind-speed,13,1.5,2.5,2,0.69
16-02-2021,IN,New Delhi,wind-speed,13,0.5,2,1.2,1.69
01-04-2021,IN,New Delhi,wind-speed,24,2.8,7.9,4.6,32.03
07-04-2021,IN,New Delhi,wind-speed,24,1.5,4.6,3,5.67
17-01-2021,IN,New Delhi,wind-speed,21,0.7,4.3,3,9.23
13-03-2021,IN,New Delhi,wind-speed,15,2,3.8,2.8,2.67
15-04-2021,IN,New Delhi,wind-speed,20,1,4.8,3,16.1
28-01-2021,IN,New Delhi,wind-speed,8,1,2.5,2,3.48
17-02-2021,IN,New Delhi,wind-speed,5,1,2.5,1.2,3.57
02-04-2021,IN,New Delhi,wind-speed,24,1.5,4.8,3,10.15
23-04-2021,IN,New Delhi,wind-speed,24,2.3,6.6,4.3,12.26
01-02-2021,IN,New Delhi,wind-speed,11,0.7,3,2.3,5.63
10-02-2021,IN,New Delhi,wind-speed,16,1,3.6,2,4.76
09-03-2021,IN,New Delhi,wind-speed,24,1,5.6,2.3,21.58
01-01-2021,IN,New Delhi,wind-speed,14,0.7,3,2,4.93
06-01-2021,IN,New Delhi,wind-speed,21,0.7,3,2.5,5.45
08-01-2021,IN,New Delhi,wind-speed,15,1,2.5,1.8,1.81
29-01-2021,IN,New Delhi,wind-speed,16,1,4.8,2.5,16.35
21-02-2021,IN,New Delhi,wind-speed,19,0.7,4.8,2,16.99
30-12-2020,IN,New Delhi,wind-speed,21,1.8,3.3,2.8,1.94
24-02-2021,IN,New Delhi,wind-speed,12,0.5,3.8,2.8,12.9
25-02-2021,IN,New Delhi,wind-speed,12,1,4.3,3.6,12.07
28-02-2021,IN,New Delhi,wind-speed,18,0.5,3.6,2,10.52
05-03-2021,IN,New Delhi,wind-speed,20,1,4.3,3,7.26
18-04-2021,IN,New Delhi,wind-speed,17,1,4.6,2.3,16.93
